ID;age;race;sex;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;capital-gain;capital-loss;hours-per-week;native-country;salary-class
0;39;White;Male;State-gov;77516;Bachelors;13;Never-married;Adm-clerical;Not-in-family;2174;0;40;United-States;<=50K
1;50;White;Male;Self-emp-not-inc;83311;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;0;0;13;United-States;<=50K
2;38;White;Male;Private;215646;HS-grad;9;Divorced;Handlers-cleaners;Not-in-family;0;0;40;United-States;<=50K
3;53;Black;Male;Private;234721;11th;7;Married-civ-spouse;Handlers-cleaners;Husband;0;0;40;United-States;<=50K
4;28;Black;Female;Private;338409;Bachelors;13;Married-civ-spouse;Prof-specialty;Wife;0;0;40;Cuba;<=50K
5;37;White;Female;Private;284582;Masters;14;Married-civ-spouse;Exec-managerial;Wife;0;0;40;United-States;<=50K
6;49;Black;Female;Private;160187;9th;5;Married-spouse-absent;Other-service;Not-in-family;0;0;16;Jamaica;<=50K
7;52;White;Male;Self-emp-not-inc;209642;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;0;0;45;United-States;>50K
8;31;White;Female;Private;45781;Masters;14;Never-married;Prof-specialty;Not-in-family;14084;0;50;United-States;>50K
9;42;White;Male;Private;159449;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;5178;0;40;United-States;>50K
10;37;Black;Male;Private;280464;Some-college;10;Married-civ-spouse;Exec-managerial;Husband;0;0;80;United-States;>50K
11;30;Asian-Pac-Islander;Male;State-gov;141297;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;0;0;40;India;>50K
12;23;White;Female;Private;122272;Bachelors;13;Never-married;Adm-clerical;Own-child;0;0;30;United-States;<=50K
13;32;Black;Male;Private;205019;Assoc-acdm;12;Never-married;Sales;Not-in-family;0;0;50;United-States;<=50K
15;34;Amer-Indian-Eskimo;Male;Private;245487;7th-8th;4;Married-civ-spouse;Transport-moving;Husband;0;0;45;Mexico;<=50K
16;25;White;Male;Self-emp-not-inc;176756;HS-grad;9;Never-married;Farming-fishing;Own-child;0;0;35;United-States;<=50K
17;32;White;Male;Private;186824;HS-grad;9;Never-married;Machine-op-inspct;Unmarried;0;0;40;United-States;<=50K
18;38;White;Male;Private;28887;11th;7;Married-civ-spouse;Sales;Husband;0;0;50;United-States;<=50K
19;43;White;Female;Self-emp-not-inc;292175;Masters;14;Divorced;Exec-managerial;Unmarried;0;0;45;United-States;>50K
20;40;White;Male;Private;193524;Doctorate;16;Married-civ-spouse;Prof-specialty;Husband;0;0;60;United-States;>50K
21;54;Black;Female;Private;302146;HS-grad;9;Separated;Other-service;Unmarried;0;0;20;United-States;<=50K
22;35;Black;Male;Federal-gov;76845;9th;5;Married-civ-spouse;Farming-fishing;Husband;0;0;40;United-States;<=50K
23;43;White;Male;Private;117037;11th;7;Married-civ-spouse;Transport-moving;Husband;0;2042;40;United-States;<=50K
24;59;White;Female;Private;109015;HS-grad;9;Divorced;Tech-support;Unmarried;0;0;40;United-States;<=50K
25;56;White;Male;Local-gov;216851;Bachelors;13;Married-civ-spouse;Tech-support;Husband;0;0;40;United-States;>50K
26;19;White;Male;Private;168294;HS-grad;9;Never-married;Craft-repair;Own-child;0;0;40;United-States;<=50K
28;39;White;Male;Private;367260;HS-grad;9;Divorced;Exec-managerial;Not-in-family;0;0;80;United-States;<=50K
29;49;White;Male;Private;193366;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;<=50K
30;23;White;Male;Local-gov;190709;Assoc-acdm;12;Never-married;Protective-serv;Not-in-family;0;0;52;United-States;<=50K
31;20;Black;Male;Private;266015;Some-college;10;Never-married;Sales;Own-child;0;0;44;United-States;<=50K
32;45;White;Male;Private;386940;Bachelors;13;Divorced;Exec-managerial;Own-child;0;1408;40;United-States;<=50K
33;30;White;Male;Federal-gov;59951;Some-college;10;Married-civ-spouse;Adm-clerical;Own-child;0;0;40;United-States;<=50K
34;22;Black;Male;State-gov;311512;Some-college;10;Married-civ-spouse;Other-service;Husband;0;0;15;United-States;<=50K
35;48;White;Male;Private;242406;11th;7;Never-married;Machine-op-inspct;Unmarried;0;0;40;Puerto-Rico;<=50K
36;21;White;Male;Private;197200;Some-college;10;Never-married;Machine-op-inspct;Own-child;0;0;40;United-States;<=50K
37;19;White;Female;Private;544091;HS-grad;9;Married-AF-spouse;Adm-clerical;Wife;0;0;25;United-States;<=50K
39;48;White;Male;Self-emp-not-inc;265477;Assoc-acdm;12;Married-civ-spouse;Prof-specialty;Husband;0;0;40;United-States;<=50K
40;31;White;Male;Private;507875;9th;5;Married-civ-spouse;Machine-op-inspct;Husband;0;0;43;United-States;<=50K
41;53;White;Male;Self-emp-not-inc;88506;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;0;0;40;United-States;<=50K
42;24;White;Male;Private;172987;Bachelors;13;Married-civ-spouse;Tech-support;Husband;0;0;50;United-States;<=50K
43;49;White;Female;Private;94638;HS-grad;9;Separated;Adm-clerical;Unmarried;0;0;40;United-States;<=50K
44;25;White;Male;Private;289980;HS-grad;9;Never-married;Handlers-cleaners;Not-in-family;0;0;35;United-States;<=50K
45;57;Black;Male;Federal-gov;337895;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;0;0;40;United-States;>50K
46;53;White;Male;Private;144361;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Husband;0;0;38;United-States;<=50K
47;44;White;Female;Private;128354;Masters;14;Divorced;Exec-managerial;Unmarried;0;0;40;United-States;<=50K
48;41;White;Male;State-gov;101603;Assoc-voc;11;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;<=50K
49;29;White;Male;Private;271466;Assoc-voc;11;Never-married;Prof-specialty;Not-in-family;0;0;43;United-States;<=50K
50;25;Other;Female;Private;32275;Some-college;10;Married-civ-spouse;Exec-managerial;Wife;0;0;40;United-States;<=50K
52;47;White;Female;Private;51835;Prof-school;15;Married-civ-spouse;Prof-specialty;Wife;0;1902;60;Honduras;>50K
53;50;White;Male;Federal-gov;251585;Bachelors;13;Divorced;Exec-managerial;Not-in-family;0;0;55;United-States;>50K
54;47;White;Male;Self-emp-inc;109832;HS-grad;9;Divorced;Exec-managerial;Not-in-family;0;0;60;United-States;<=50K
55;43;White;Male;Private;237993;Some-college;10;Married-civ-spouse;Tech-support;Husband;0;0;40;United-States;>50K
56;46;White;Male;Private;216666;5th-6th;3;Married-civ-spouse;Machine-op-inspct;Husband;0;0;40;Mexico;<=50K
57;35;White;Male;Private;56352;Assoc-voc;11;Married-civ-spouse;Other-service;Husband;0;0;40;Puerto-Rico;<=50K
58;41;White;Male;Private;147372;HS-grad;9;Married-civ-spouse;Adm-clerical;Husband;0;0;48;United-States;<=50K
59;30;White;Male;Private;188146;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Husband;5013;0;40;United-States;<=50K
60;30;White;Male;Private;59496;Bachelors;13;Married-civ-spouse;Sales;Husband;2407;0;40;United-States;<=50K
62;48;White;Male;Private;149640;HS-grad;9;Married-civ-spouse;Transport-moving;Husband;0;0;40;United-States;<=50K
63;42;White;Male;Private;116632;Doctorate;16;Married-civ-spouse;Prof-specialty;Husband;0;0;45;United-States;>50K
64;29;White;Male;Private;105598;Some-college;10;Divorced;Tech-support;Not-in-family;0;0;58;United-States;<=50K
65;36;White;Male;Private;155537;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;<=50K
66;28;White;Female;Private;183175;Some-college;10;Divorced;Adm-clerical;Not-in-family;0;0;40;United-States;<=50K
67;53;White;Female;Private;169846;HS-grad;9;Married-civ-spouse;Adm-clerical;Wife;0;0;40;United-States;>50K
68;49;White;Male;Self-emp-inc;191681;Some-college;10;Married-civ-spouse;Exec-managerial;Husband;0;0;50;United-States;>50K
70;19;White;Male;Private;101509;Some-college;10;Never-married;Prof-specialty;Own-child;0;0;32;United-States;<=50K
71;31;Black;Female;Private;309974;Bachelors;13;Separated;Sales;Own-child;0;0;40;United-States;<=50K
72;29;White;Male;Self-emp-not-inc;162298;Bachelors;13;Married-civ-spouse;Sales;Husband;0;0;70;United-States;>50K
73;23;White;Male;Private;211678;Some-college;10;Never-married;Machine-op-inspct;Not-in-family;0;0;40;United-States;<=50K
74;79;White;Male;Private;124744;Some-college;10;Married-civ-spouse;Prof-specialty;Other-relative;0;0;20;United-States;<=50K
75;27;White;Male;Private;213921;HS-grad;9;Never-married;Other-service;Own-child;0;0;40;Mexico;<=50K
76;40;White;Male;Private;32214;Assoc-acdm;12;Married-civ-spouse;Adm-clerical;Husband;0;0;40;United-States;<=50K
78;18;White;Female;Private;309634;11th;7;Never-married;Other-service;Own-child;0;0;22;United-States;<=50K
