ID;age;race;sex;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;capital-gain;capital-loss;hours-per-week;native-country;salary-class
0;53;White;Male;Private;157069;Assoc-acdm;12;Married-civ-spouse;Machine-op-inspct;Husband;0;0;40;United-States;>50K
1;53;White;Male;Private;177647;Bachelors;13;Divorced;Exec-managerial;Unmarried;0;0;40;United-States;<=50K
2;34;White;Male;Private;561334;Some-college;10;Married-civ-spouse;Exec-managerial;Husband;0;0;50;United-States;>50K
3;48;White;Male;Private;185041;7th-8th;4;Married-civ-spouse;Transport-moving;Husband;0;1672;55;United-States;<=50K
4;42;White;Male;Private;211860;HS-grad;9;Separated;Adm-clerical;Not-in-family;0;0;40;United-States;<=50K
5;33;White;Male;Private;176711;Assoc-acdm;12;Never-married;Adm-clerical;Not-in-family;0;0;50;United-States;<=50K
6;23;White;Female;Local-gov;55890;Bachelors;13;Never-married;Prof-specialty;Not-in-family;0;0;40;United-States;<=50K
7;17;White;Female;Private;132636;11th;7;Never-married;Transport-moving;Own-child;0;0;16;United-States;<=50K
8;52;White;Male;Private;208302;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Husband;0;0;60;United-States;<=50K
9;18;Black;Male;Private;283342;11th;7;Never-married;Other-service;Other-relative;0;0;20;United-States;<=50K
10;29;White;Male;Private;146949;Assoc-voc;11;Married-civ-spouse;Prof-specialty;Husband;0;0;43;United-States;<=50K
11;33;White;Female;Private;181372;Masters;14;Married-civ-spouse;Exec-managerial;Wife;0;0;50;United-States;>50K
12;66;White;Male;Private;201197;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;0;0;45;United-States;>50K
13;46;White;Male;Private;59767;Some-college;10;Divorced;Sales;Not-in-family;0;0;50;United-States;<=50K
14;23;Black;Female;Local-gov;220912;Bachelors;13;Never-married;Prof-specialty;Not-in-family;0;0;40;United-States;<=50K
15;47;Black;Male;Federal-gov;192894;HS-grad;9;Married-civ-spouse;Transport-moving;Husband;0;0;50;United-States;>50K
16;57;White;Female;Self-emp-not-inc;225334;Prof-school;15;Married-civ-spouse;Sales;Wife;15024;0;35;United-States;>50K
17;39;White;Male;Private;214816;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;0;0;60;United-States;<=50K
18;26;White;Female;Private;137658;Bachelors;13;Never-married;Exec-managerial;Not-in-family;0;0;45;United-States;<=50K
19;41;Asian-Pac-Islander;Male;Private;143003;Assoc-voc;11;Married-civ-spouse;Other-service;Husband;7298;0;60;India;>50K
20;30;White;Male;Local-gov;319280;HS-grad;9;Married-civ-spouse;Protective-serv;Husband;0;0;40;United-States;>50K
21;36;White;Male;Local-gov;298717;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;0;0;40;United-States;<=50K
22;32;Black;Female;Private;116055;HS-grad;9;Never-married;Adm-clerical;Unmarried;2977;0;35;United-States;<=50K
23;39;White;Female;Private;176634;Assoc-acdm;12;Never-married;Tech-support;Not-in-family;0;0;40;United-States;<=50K
24;31;White;Male;Private;279680;Some-college;10;Married-civ-spouse;Handlers-cleaners;Husband;0;0;45;United-States;<=50K
25;33;White;Male;Private;174789;Some-college;10;Never-married;Machine-op-inspct;Not-in-family;0;0;40;United-States;<=50K
26;45;Asian-Pac-Islander;Male;Private;175262;9th;5;Married-civ-spouse;Handlers-cleaners;Husband;0;0;40;India;<=50K
27;34;Black;Female;Private;140571;Assoc-voc;11;Divorced;Tech-support;Unmarried;0;0;40;United-States;<=50K
28;30;Black;Female;Local-gov;364310;Bachelors;13;Never-married;Prof-specialty;Not-in-family;0;0;40;Germany;<=50K
29;26;White;Male;Private;226196;HS-grad;9;Never-married;Transport-moving;Own-child;0;0;40;United-States;<=50K
30;22;White;Female;Private;260594;11th;7;Never-married;Sales;Unmarried;0;0;25;United-States;<=50K
31;17;White;Male;Private;193769;9th;5;Never-married;Other-service;Unmarried;0;0;20;United-States;<=50K
32;20;White;Male;Private;157595;Some-college;10;Never-married;Handlers-cleaners;Not-in-family;0;0;40;United-States;<=50K
33;18;Black;Male;Private;174732;HS-grad;9;Never-married;Other-service;Other-relative;0;0;36;United-States;<=50K
34;52;White;Female;Private;145155;HS-grad;9;Widowed;Adm-clerical;Not-in-family;0;0;40;United-States;<=50K
35;17;White;Female;Private;53611;12th;8;Never-married;Other-service;Own-child;0;0;6;United-States;<=50K
36;40;White;Male;Self-emp-inc;193524;Some-college;10;Married-civ-spouse;Farming-fishing;Husband;0;0;40;United-States;>50K
37;39;White;Male;Private;236391;HS-grad;9;Married-civ-spouse;Transport-moving;Husband;0;0;50;United-States;>50K
38;62;White;Male;Private;88055;Bachelors;13;Married-civ-spouse;Machine-op-inspct;Husband;0;0;40;United-States;<=50K
39;50;White;Male;Private;93690;HS-grad;9;Married-civ-spouse;Transport-moving;Husband;0;0;40;United-States;>50K
40;53;White;Male;Self-emp-not-inc;279129;Some-college;10;Married-civ-spouse;Farming-fishing;Husband;0;0;30;United-States;<=50K
41;18;White;Female;Private;126021;HS-grad;9;Never-married;Craft-repair;Own-child;0;0;20;United-States;<=50K
42;50;White;Male;Private;20795;HS-grad;9;Married-civ-spouse;Farming-fishing;Husband;0;0;60;United-States;>50K
43;38;White;Female;Private;32897;11th;7;Divorced;Sales;Unmarried;0;0;40;United-States;<=50K
44;27;White;Male;Private;267989;Some-college;10;Married-civ-spouse;Machine-op-inspct;Husband;0;0;40;United-States;<=50K
45;49;White;Female;Local-gov;192349;Masters;14;Never-married;Prof-specialty;Not-in-family;4650;0;40;United-States;<=50K
