ID;S1_Temp;S2_Temp;S3_Temp;S4_Temp;S1_Light;S2_Light;S3_Light;S4_Light;S1_Sound;S2_Sound;S3_Sound;S4_Sound;S5_CO2;S5_CO2_Slope;S6_PIR;S7_PIR;Room_Occupancy_Count
0;2494;2475;2456;2538;121;34;53;40;8;19;6;6;390;769230;0;0;1
1;2494;2475;2456;2544;121;33;53;40;93;5;6;6;390;646153;0;0;1
2;2500;2475;2450;2544;121;34;53;40;43;11;8;6;390;519230;0;0;1
3;2500;2475;2456;2544;121;34;53;40;41;10;10;9;390;388461;0;0;1
4;2500;2475;2456;2544;121;34;54;40;18;6;6;6;390;253846;0;0;1
5;2500;2481;2456;2544;121;34;54;40;13;6;6;7;390;165384;0;0;1
6;2500;2475;2456;2544;120;34;54;40;139;32;43;6;390;76923;1;0;1
7;2500;2481;2456;2544;121;34;54;41;9;6;9;5;390;-11538;0;0;1
8;2500;2481;2456;2550;122;35;56;43;9;5;6;13;390;-100000;0;0;1
9;2500;2481;2456;2550;101;34;57;43;384;64;48;39;390;-188461;1;1;1
10;2506;2481;2456;2544;122;35;57;43;220;31;33;21;390;-276923;1;1;1
11;2506;2481;2456;2550;123;35;57;44;42;13;14;9;390;-365384;1;0;1
12;2506;2488;2463;2550;123;35;57;43;21;15;7;6;390;-453846;1;0;1
13;2506;2481;2463;2556;123;35;57;44;166;21;12;9;390;-542307;1;0;1
14;2506;2488;2463;2556;123;35;58;44;56;17;21;13;390;-630769;1;0;1
15;2506;2488;2463;2556;123;35;58;44;14;17;15;6;390;-719230;1;0;1
16;2506;2488;2463;2556;122;35;58;44;24;5;10;5;395;-711538;0;0;1
17;2506;2481;2463;2556;122;35;57;44;25;7;7;5;395;-653846;1;0;1
18;2506;2481;2463;2556;123;35;58;44;23;7;8;6;395;-542307;1;0;1
19;2506;2488;2463;2550;123;35;58;45;13;6;6;6;395;-373076;0;0;1
20;2513;2488;2463;2550;123;35;58;44;13;4;6;6;390;-238461;0;0;1
21;2506;2488;2463;2556;123;35;57;44;15;5;6;6;395;-92307;0;0;1
22;2513;2488;2463;2556;123;35;58;45;11;5;6;6;395;61538;0;0;1
23;2513;2488;2463;2556;123;35;58;45;131;12;8;7;400;319230;0;0;1
24;2513;2488;2463;2550;124;35;59;45;11;12;6;6;400;334615;0;0;1
25;2513;2488;2469;2550;123;35;58;45;157;8;7;14;400;388461;1;0;1
26;2513;2488;2469;2550;123;35;59;44;21;19;17;7;405;480769;1;0;1
27;2513;2488;2469;2556;123;35;58;44;44;13;17;9;410;607692;1;0;1
28;2513;2488;2469;2556;123;35;58;44;46;14;16;7;410;719230;1;0;1
29;2513;2488;2469;2556;123;35;58;45;98;25;19;16;405;769230;1;0;1
30;2519;2488;2469;2556;123;35;58;44;15;13;23;6;405;807692;0;0;1
31;2519;2488;2469;2556;123;35;58;45;8;8;7;6;400;788461;0;0;1
32;2519;2488;2469;2556;123;35;58;44;9;5;7;8;410;853846;1;0;1
33;2519;2488;2469;2556;123;35;58;44;37;16;18;5;410;903846;0;0;1
34;2519;2488;2469;2569;122;35;59;44;8;6;6;6;405;892307;0;0;1
35;2519;2488;2469;2563;122;35;58;44;93;5;6;14;410;915384;0;0;1
36;2519;2488;2469;2563;123;35;57;44;7;24;6;6;410;923076;0;0;1
37;2519;2494;2469;2556;123;35;58;44;7;5;5;6;415;961538;0;0;1
38;2519;2488;2469;2556;123;35;58;44;8;5;5;6;420;1026923;0;0;1
39;2519;2494;2469;2556;123;35;57;43;8;5;6;6;425;1115384;0;0;1
40;2519;2494;2475;2556;123;35;57;44;127;6;11;13;425;1176923;0;0;1
41;2519;2494;2469;2563;123;35;59;45;8;26;21;7;420;1215384;0;0;1
42;2519;2494;2475;2563;123;36;59;45;10;8;9;6;420;1234615;0;0;1
43;2519;2494;2469;2563;123;35;59;45;46;16;21;11;420;1234615;1;0;1
44;2519;2488;2469;2563;123;35;59;45;42;19;16;9;420;1215384;0;0;1
45;2519;2494;2475;2563;124;35;60;46;17;5;6;6;425;1173076;0;0;1
46;2519;2494;2475;2563;124;36;61;47;144;12;15;9;430;1200000;0;0;1
47;2525;2494;2475;2563;124;36;61;46;76;27;24;13;430;1200000;1;0;1
48;2525;2494;2475;2563;124;36;61;46;16;6;5;6;435;1269230;0;0;1
49;2525;2494;2475;2556;124;36;60;46;9;5;6;6;425;1219230;0;0;1
50;2525;2494;2475;2569;123;35;59;45;28;5;7;6;425;1150000;0;0;1
51;2525;2494;2475;2563;123;35;59;45;7;7;5;7;420;1065384;0;0;1
52;2525;2494;2475;2563;124;36;60;46;28;12;11;8;420;1019230;1;0;1
53;2525;2494;2475;2563;123;35;60;45;24;11;14;7;420;965384;0;0;1
54;2525;2494;2475;2569;123;35;60;45;93;14;12;8;430;946153;1;0;1
55;2525;2494;2475;2569;123;35;60;45;10;9;10;6;435;953846;0;0;1
56;2525;2494;2481;2563;123;35;59;45;68;12;11;10;430;842307;0;0;1
57;2525;2494;2475;2563;123;35;60;45;94;12;13;6;445;946153;0;0;1
58;2525;2494;2475;2556;123;35;59;45;12;5;6;7;440;976923;0;0;1
59;2525;2500;2481;2563;123;35;59;45;28;8;10;7;440;934615;0;0;1
60;2525;2494;2481;2569;124;36;61;47;83;5;6;8;435;869230;0;0;1
61;2525;2500;2481;2569;124;36;62;47;110;10;9;5;430;738461;1;0;1
62;2525;2500;2481;2563;124;36;61;46;83;10;11;10;435;688461;0;0;1
63;2525;2500;2481;2569;123;36;60;45;48;15;18;11;440;719230;1;0;1
64;2531;2500;2481;2569;123;35;60;46;65;8;11;7;445;830769;0;0;1
65;2531;2500;2481;2563;123;35;60;45;40;6;8;6;445;926923;0;0;1
66;2531;2500;2481;2563;124;36;60;45;49;6;7;7;445;957692;0;0;1
67;2531;2500;2481;2569;124;35;60;45;13;10;9;6;445;969230;0;0;1
68;2531;2500;2481;2575;124;36;60;46;35;5;5;11;440;915384;0;0;1
69;2531;2500;2481;2575;124;36;63;48;17;10;14;6;440;846153;0;0;1
70;2531;2500;2481;2575;124;37;64;49;185;19;15;12;445;857692;0;0;1
71;2531;2500;2481;2569;124;37;65;49;28;8;8;7;445;903846;1;0;1
72;2531;2500;2481;2575;123;37;64;49;36;9;9;9;450;984615;1;0;1
73;2531;2525;2488;2575;123;31;61;46;48;31;53;10;450;1100000;1;1;1
74;2531;2563;2481;2575;124;29;62;46;51;55;17;12;450;1103846;1;1;1
75;2538;2544;2481;2569;150;187;63;49;46;46;21;11;450;1088461;1;1;2
76;2538;2544;2481;2575;153;216;63;49;76;74;15;14;450;1003846;1;1;2
77;2538;2544;2488;2575;155;234;63;49;177;108;20;8;450;896153;1;1;2
78;2538;2544;2481;2575;156;239;64;50;80;28;10;9;445;719230;0;1;2
79;2538;2538;2481;2581;157;241;67;53;73;24;10;10;445;623076;0;1;2
80;2538;2538;2488;2581;157;242;68;54;113;33;23;17;450;611538;0;1;2
81;2538;2544;2481;2581;157;242;69;54;57;56;25;16;450;538461;0;1;2
82;2538;2544;2488;2569;158;243;70;54;71;68;27;23;455;646153;1;0;2
83;2538;2544;2481;2581;157;242;67;53;44;63;25;10;455;696153;1;0;2
84;2538;2531;2488;2575;157;242;68;53;23;32;13;11;450;688461;0;0;2
85;2538;2538;2488;2575;157;241;68;53;279;41;20;24;450;623076;1;0;2
86;2538;2538;2488;2575;157;241;68;53;54;55;21;18;445;450000;1;0;2
87;2538;2544;2488;2575;157;240;69;54;249;67;20;12;450;361538;1;0;2
88;2544;2544;2488;2575;157;240;70;54;47;25;14;11;450;311538;1;0;2
89;2544;2538;2488;2581;157;239;70;54;351;38;22;19;450;303846;1;0;2
90;2544;2538;2488;2581;156;239;70;54;73;81;41;17;460;384615;1;0;2
91;2544;2544;2488;2581;157;239;70;54;63;42;21;15;460;453846;0;0;2
92;2544;2550;2488;2575;155;236;70;53;113;56;32;14;475;650000;1;1;2
93;2544;2556;2488;2575;155;236;68;53;102;51;17;17;480;819230;1;1;2
