ID;S1_Temp;S2_Temp;S3_Temp;S4_Temp;S1_Light;S2_Light;S3_Light;S4_Light;S1_Sound;S2_Sound;S3_Sound;S4_Sound;S5_CO2;S5_CO2_Slope;S6_PIR;S7_PIR;Room_Occupancy_Count
0;2519;2519;2494;2581;13;14;58;41;8;7;8;6;355;-53846;0;0;0
1;2544;2544;2513;2594;0;0;0;0;8;5;5;10;350;-103846;0;0;0
2;2531;2500;2481;2569;123;35;60;46;65;8;11;7;445;830769;0;0;1
3;2513;2506;2456;2519;0;0;0;0;8;4;5;9;345;0;0;0;0
4;2619;2588;2569;2631;118;23;188;11;89;70;197;55;700;2507692;0;0;2
5;2544;2544;2494;2575;0;0;0;0;7;5;6;7;365;-103846;0;0;0
6;2531;2531;2494;2544;0;0;0;0;8;4;6;8;350;0;0;0;0
7;2531;2531;2488;2575;0;0;0;0;8;5;6;10;355;0;0;0;0
8;2625;2631;2600;2644;149;234;178;10;97;14;35;21;1055;2880769;0;1;3
9;2519;2525;2469;2556;0;0;0;0;6;5;6;6;360;0;0;0;0
10;2531;2525;2475;2563;0;0;0;0;8;5;7;10;355;0;0;0;0
11;2544;2544;2519;2600;0;0;0;0;8;5;7;9;350;19230;0;0;0
12;2594;2619;2569;2594;0;0;0;0;8;5;6;9;835;134615;0;0;0
13;2525;2525;2475;2563;0;0;0;0;7;5;7;6;365;-50000;0;0;0
14;2544;2544;2500;2563;0;0;0;0;6;5;6;6;375;0;0;0;0
15;2613;2581;2556;2631;119;24;195;15;62;14;21;16;590;1311538;1;1;2
16;2506;2513;2456;2538;4;4;19;13;7;5;6;6;360;46153;0;0;0
17;2538;2538;2494;2581;0;0;0;0;7;5;6;10;355;0;0;0;0
18;2506;2506;2456;2525;2;2;11;7;8;6;7;9;350;0;0;0;0
19;2538;2538;2500;2594;0;0;0;0;8;5;8;11;355;0;0;0;0
20;2506;2506;2450;2513;1;1;8;5;7;6;5;8;345;0;0;0;0
21;2513;2519;2463;2525;0;0;0;0;8;5;5;8;345;0;0;0;0
22;2581;2600;2569;2588;5;6;22;20;15;11;9;9;610;3150000;1;0;3
23;2506;2513;2469;2563;9;10;43;29;7;6;8;10;355;0;0;0;0
24;2513;2513;2475;2563;9;10;45;30;8;5;7;5;360;96153;0;0;0
25;2525;2525;2481;2563;0;0;0;0;7;6;5;10;355;0;0;0;0
26;2538;2538;2494;2588;0;0;0;0;7;5;7;10;355;0;0;0;0
27;2506;2506;2456;2519;5;5;29;20;8;5;6;10;350;0;0;0;0
28;2513;2513;2463;2519;0;0;0;0;8;5;6;8;345;0;0;0;0
29;2556;2556;2525;2569;0;0;0;0;8;5;6;9;490;-1819230;0;0;0
30;2588;2588;2563;2625;120;34;71;45;7;5;6;7;580;-1776923;0;0;1
31;2525;2525;2475;2563;0;0;0;0;7;5;6;10;355;0;0;0;0
32;2544;2544;2538;2613;3;3;15;11;8;5;7;11;355;11538;0;0;0
33;2506;2500;2450;2538;5;5;24;17;8;5;6;6;360;196153;0;0;0
34;2519;2525;2469;2550;0;0;0;0;7;5;6;9;355;0;0;0;0
35;2550;2556;2513;2575;0;0;0;0;6;5;6;7;390;-1450000;0;0;0
36;2519;2519;2488;2581;14;15;63;45;12;9;10;9;355;0;0;0;0
37;2544;2556;2494;2588;155;236;71;54;153;124;36;27;500;2457692;1;0;2
38;2606;2575;2556;2631;118;29;51;30;8;5;18;6;605;230769;1;0;1
39;2556;2563;2519;2575;0;0;0;0;7;5;6;7;475;-1842307;0;0;0
40;2538;2544;2506;2594;0;0;0;0;8;6;6;10;355;-38461;0;0;0
41;2506;2506;2463;2531;8;8;40;27;7;4;5;10;355;0;0;0;0
42;2563;2563;2525;2581;0;0;0;0;7;5;6;6;550;-1992307;0;0;0
43;2506;2506;2463;2544;7;8;39;26;7;4;6;10;355;0;0;0;0
44;2519;2519;2494;2581;13;14;57;40;8;5;5;10;355;0;0;0;0
45;2613;2594;2556;2625;119;24;199;18;67;42;44;45;565;1569230;0;1;2
46;2538;2544;2506;2588;0;0;0;0;7;5;6;11;350;-15384;0;0;0
47;2619;2725;2606;2638;164;254;273;73;72;59;170;10;965;1703846;1;1;3
48;2525;2525;2475;2556;0;0;0;0;7;5;6;10;355;0;0;0;0
49;2531;2531;2513;2588;16;19;70;50;7;5;6;10;355;0;0;0;0
50;2513;2513;2456;2550;0;0;0;0;8;5;7;5;360;0;0;0;0
51;2506;2513;2469;2525;6;7;33;21;8;4;5;9;345;0;0;0;0
52;2519;2519;2488;2581;13;14;59;42;8;5;7;6;355;-26923;0;0;0
53;2556;2550;2513;2588;0;0;0;0;7;5;6;6;405;-1250000;0;0;0
54;2525;2531;2475;2563;0;0;0;0;6;5;6;5;360;0;0;0;0
55;2550;2550;2506;2594;0;0;0;0;7;4;6;6;405;-1019230;0;0;0
