ID;S1_Temp;S2_Temp;S3_Temp;S4_Temp;S1_Light;S2_Light;S3_Light;S4_Light;S1_Sound;S2_Sound;S3_Sound;S4_Sound;S5_CO2;S5_CO2_Slope;S6_PIR;S7_PIR;Room_Occupancy_Count
0;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
1;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
2;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;1
3;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
4;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;2
5;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
6;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
7;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
8;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;3
9;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
10;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
11;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
12;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;0
13;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
14;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
15;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;2
16;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
17;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
18;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
19;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
20;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
21;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
22;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;3
23;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
24;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
25;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
26;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
27;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
28;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
29;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
30;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;1
31;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
32;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
33;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
34;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
35;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
36;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
37;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;2
38;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;1
39;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
40;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
41;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
42;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
43;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
44;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
45;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;2
46;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
47;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;3
48;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
49;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
50;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
51;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
52;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
53;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
54;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
55;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
56;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
57;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
58;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
59;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
60;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
61;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
62;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
63;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;2
64;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
65;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
66;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
67;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
68;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
69;2544~2625;2525~2575;2488~2588;2550~2644;0~160;0~251;0~214;0~63;6~384;4~344;5~365;5~112;350~815;-3169230~3907692;0~1;0~1;0
70;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
71;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
72;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
73;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
74;2519~2538;2525~2563;2481~2544;2575~2619;0~157;0~242;0~87;0~63;6~279;4~108;5~68;5~34;350~455;-296153~1103846;0~1;0~1;0
75;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;1
76;2500~2525;2500~2519;2444~2481;2513~2563;0~1;0~1;0~10;0~7;6~11;4~11;5~10;5~12;345~365;-226923~288461;0;0;0
77;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
78;2513~2538;2525~2544;2456~2506;2519~2569;0~158;0~243;0~70;0~54;6~71;4~68;5~27;5~23;345~455;-300000~646153;0~1;0;0
79;2494~2531;2475~2519;2444~2500;2494~2594;2~124;1~37;10~75;6~53;6~384;4~64;5~48;5~39;345~450;-719230~1269230;0~1;0~1;0
80;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;0
81;2550~2638;2581~2900;2500~2619;2563~2656;0~165;0~258;0~280;0~74;6~388;4~344;4~367;5~340;370~1270;-6296153~8946153;0~1;0~1;1
