ID;age;race;sex;workclass;fnlwgt;education;education-num;marital-status;occupation;relationship;capital-gain;capital-loss;hours-per-week;native-country;salary-class
0;42;White;Female;Private;95945;Doctorate;16;Divorced;Exec-managerial;Not-in-family;0;0;45;United-States;>50K
1;34;White;Male;Private;127428;Assoc-voc;11;Married-civ-spouse;Craft-repair;Husband;0;0;48;United-States;<=50K
2;25;Black;Female;Private;224670;Assoc-voc;11;Never-married;Sales;Own-child;0;0;24;United-States;<=50K
3;39;White;Male;Private;89669;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;7434;0;35;United-States;>50K
4;25;White;Female;Private;54499;HS-grad;9;Never-married;Adm-clerical;Not-in-family;0;0;50;United-States;<=50K
5;27;White;Male;Private;207472;11th;7;Married-spouse-absent;Craft-repair;Unmarried;0;0;40;United-States;<=50K
6;58;Black;Female;Private;106031;HS-grad;9;Married-civ-spouse;Other-service;Wife;0;0;40;United-States;<=50K
7;29;White;Female;Private;63698;HS-grad;9;Never-married;Adm-clerical;Own-child;0;0;48;United-States;<=50K
8;60;Asian-Pac-Islander;Male;Private;139234;Bachelors;13;Married-civ-spouse;Exec-managerial;Husband;0;0;40;Philippines;>50K
9;50;White;Male;Private;269529;HS-grad;9;Married-civ-spouse;Transport-moving;Husband;0;0;40;United-States;<=50K
10;25;White;Male;Private;132183;Bachelors;13;Never-married;Sales;Not-in-family;0;0;40;United-States;<=50K
11;44;White;Female;Private;183609;Some-college;10;Never-married;Adm-clerical;Not-in-family;0;0;40;United-States;<=50K
12;30;White;Male;Federal-gov;126953;Some-college;10;Married-civ-spouse;Adm-clerical;Husband;0;0;40;United-States;>50K
13;25;White;Male;Private;292007;HS-grad;9;Married-civ-spouse;Sales;Husband;0;0;40;United-States;>50K
14;73;White;Male;Self-emp-not-inc;106004;12th;8;Married-civ-spouse;Sales;Husband;0;0;12;United-States;>50K
15;20;White;Female;Private;271245;Some-college;10;Never-married;Exec-managerial;Not-in-family;0;0;40;Germany;<=50K
16;28;White;Male;Private;34141;HS-grad;9;Never-married;Handlers-cleaners;Own-child;0;0;40;United-States;<=50K
17;52;White;Male;Private;151814;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;0;0;40;United-States;>50K
18;47;White;Female;Private;253908;Some-college;10;Divorced;Sales;Unmarried;0;0;40;Trinadad&Tobago;<=50K
19;31;White;Female;Private;364892;HS-grad;9;Never-married;Other-service;Unmarried;0;0;40;United-States;<=50K
20;57;White;Male;Private;173487;HS-grad;9;Divorced;Exec-managerial;Not-in-family;0;0;50;United-States;<=50K
21;18;White;Male;Private;189114;11th;7;Never-married;Sales;Own-child;0;0;20;United-States;<=50K
22;35;White;Male;Private;49357;HS-grad;9;Never-married;Handlers-cleaners;Not-in-family;0;0;40;United-States;<=50K
23;45;Black;Male;Private;209788;HS-grad;9;Married-civ-spouse;Other-service;Husband;0;0;40;United-States;<=50K
24;18;White;Female;Private;259766;11th;7;Never-married;Adm-clerical;Not-in-family;0;0;25;United-States;<=50K
25;19;White;Male;Private;92616;Some-college;10;Never-married;Sales;Own-child;0;0;20;United-States;<=50K
26;19;White;Male;Private;216584;9th;5;Never-married;Other-service;Other-relative;0;0;35;Poland;<=50K
27;57;White;Male;Self-emp-not-inc;333844;7th-8th;4;Married-civ-spouse;Craft-repair;Husband;0;0;30;Puerto-Rico;<=50K
28;26;White;Male;State-gov;103283;Some-college;10;Never-married;Craft-repair;Own-child;0;0;12;United-States;<=50K
29;49;White;Male;Self-emp-inc;79297;Some-college;10;Married-civ-spouse;Craft-repair;Husband;0;0;50;United-States;<=50K
30;31;Black;Male;Private;280472;HS-grad;9;Never-married;Craft-repair;Unmarried;0;0;60;United-States;<=50K
31;33;White;Male;Private;128401;Some-college;10;Divorced;Adm-clerical;Own-child;0;0;40;United-States;<=50K
32;49;White;Male;Private;236741;Masters;14;Married-civ-spouse;Prof-specialty;Husband;15862;0;50;United-States;>50K
33;31;White;Male;Private;299753;Some-college;10;Married-civ-spouse;Transport-moving;Husband;0;0;60;United-States;<=50K
34;50;White;Male;Private;310758;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Husband;0;0;40;United-States;>50K
35;45;White;Male;Local-gov;191137;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;>50K
36;43;White;Male;Self-emp-inc;224089;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;>50K
37;49;White;Female;Private;107644;Some-college;10;Widowed;Adm-clerical;Not-in-family;0;0;40;Puerto-Rico;<=50K
38;28;White;Male;Private;279251;Assoc-voc;11;Married-civ-spouse;Prof-specialty;Husband;8126;0;60;United-States;>50K
39;29;White;Male;Private;223323;Bachelors;13;Never-married;Protective-serv;Not-in-family;13604;0;60;United-States;>50K
40;49;Black;Female;Private;132285;11th;7;Married-spouse-absent;Other-service;Unmarried;0;0;40;United-States;<=50K
41;46;White;Female;Private;78816;Some-college;10;Married-civ-spouse;Tech-support;Wife;0;0;20;United-States;>50K
42;58;Black;Male;Federal-gov;122132;Assoc-voc;11;Married-civ-spouse;Prof-specialty;Husband;0;0;35;United-States;>50K
43;30;Black;Female;Private;213694;Assoc-voc;11;Never-married;Other-service;Unmarried;0;0;40;United-States;<=50K
44;29;White;Male;Private;163311;9th;5;Never-married;Handlers-cleaners;Other-relative;0;0;40;El-Salvador;<=50K
45;59;White;Male;Private;198810;HS-grad;9;Married-civ-spouse;Exec-managerial;Other-relative;0;0;40;United-States;<=50K
46;35;White;Female;Private;228305;Masters;14;Married-civ-spouse;Prof-specialty;Wife;0;0;40;United-States;>50K
47;58;White;Male;Private;176691;HS-grad;9;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;<=50K
48;32;White;Male;Self-emp-not-inc;118278;Masters;14;Married-civ-spouse;Sales;Husband;0;0;45;United-States;<=50K
49;34;White;Female;Private;63124;9th;5;Married-civ-spouse;Adm-clerical;Wife;0;0;42;Ireland;<=50K
50;64;Black;Male;Self-emp-not-inc;401361;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;0;0;20;United-States;>50K
51;36;White;Male;Self-emp-inc;197362;Bachelors;13;Married-civ-spouse;Prof-specialty;Husband;0;0;65;United-States;>50K
52;34;White;Male;Private;170011;11th;7;Married-civ-spouse;Sales;Husband;15667;0;55;United-States;>50K
53;20;White;Male;Private;214492;HS-grad;9;Never-married;Craft-repair;Not-in-family;0;0;40;United-States;<=50K
54;59;White;Female;Private;163958;HS-grad;9;Married-civ-spouse;Adm-clerical;Wife;0;0;40;Italy;>50K
55;59;White;Male;Local-gov;265163;Assoc-voc;11;Married-civ-spouse;Other-service;Husband;0;0;40;United-States;>50K
56;18;Black;Male;Private;35439;11th;7;Never-married;Other-service;Own-child;0;0;30;United-States;<=50K
57;62;White;Female;Private;236333;Some-college;10;Widowed;Other-service;Not-in-family;0;0;43;United-States;<=50K
58;28;White;Female;Local-gov;86669;Bachelors;13;Never-married;Prof-specialty;Own-child;0;0;40;United-States;>50K
59;42;White;Female;Private;190958;10th;6;Separated;Machine-op-inspct;Not-in-family;0;0;40;United-States;<=50K
60;32;White;Male;Private;341071;7th-8th;4;Divorced;Craft-repair;Not-in-family;0;0;50;Italy;<=50K
61;54;White;Female;Local-gov;241658;Some-college;10;Divorced;Adm-clerical;Not-in-family;0;0;76;United-States;<=50K
62;29;White;Male;Private;372253;11th;7;Married-civ-spouse;Tech-support;Husband;0;0;40;United-States;<=50K
63;56;White;Male;State-gov;192628;Some-college;10;Married-civ-spouse;Protective-serv;Husband;0;0;38;United-States;<=50K
64;29;White;Male;Private;184706;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Husband;0;0;40;United-States;<=50K
65;24;White;Male;Private;203517;Bachelors;13;Married-civ-spouse;Sales;Husband;0;0;50;United-States;<=50K
66;67;White;Female;Private;132845;Some-college;10;Never-married;Adm-clerical;Not-in-family;2538;0;15;United-States;<=50K
67;33;White;Female;Local-gov;183499;Masters;14;Never-married;Prof-specialty;Not-in-family;9345;0;40;United-States;>50K
68;22;White;Female;Private;210409;Some-college;10;Divorced;Adm-clerical;Not-in-family;0;0;30;United-States;<=50K
69;47;White;Female;Self-emp-not-inc;106167;HS-grad;9;Widowed;Sales;Unmarried;0;0;48;United-States;<=50K
70;31;White;Male;Private;107811;Assoc-voc;11;Married-civ-spouse;Other-service;Husband;0;0;45;United-States;<=50K
71;41;White;Female;Self-emp-inc;169543;Some-college;10;Married-civ-spouse;Adm-clerical;Wife;0;0;40;United-States;>50K
72;43;White;Male;Private;91147;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;0;0;40;United-States;>50K
73;38;White;Male;Private;141624;Assoc-voc;11;Married-civ-spouse;Prof-specialty;Husband;8306;0;56;United-States;>50K
74;49;White;Male;Self-emp-not-inc;191631;HS-grad;9;Married-civ-spouse;Exec-managerial;Husband;8094;0;45;United-States;>50K
75;39;White;Female;Private;232984;Assoc-acdm;12;Married-civ-spouse;Tech-support;Wife;0;0;5;United-States;<=50K
76;56;White;Male;Private;86619;HS-grad;9;Married-civ-spouse;Machine-op-inspct;Husband;0;0;40;United-States;>50K
77;25;White;Male;Private;31046;HS-grad;9;Married-civ-spouse;Other-service;Husband;0;0;40;United-States;<=50K
78;28;White;Male;Private;215979;HS-grad;9;Never-married;Transport-moving;Not-in-family;0;1732;90;United-States;<=50K
79;47;Asian-Pac-Islander;Male;Self-emp-inc;138274;Bachelors;13;Married-civ-spouse;Craft-repair;Husband;0;0;60;India;<=50K
80;18;White;Female;Private;200879;Some-college;10;Never-married;Sales;Own-child;0;0;40;United-States;<=50K
81;54;White;Female;Private;70613;Some-college;10;Never-married;Adm-clerical;Other-relative;0;0;30;United-States;<=50K
82;20;White;Male;Private;130980;Some-college;10;Never-married;Sales;Own-child;0;0;40;United-States;<=50K
83;63;White;Male;Private;209525;Assoc-voc;11;Divorced;Protective-serv;Own-child;0;0;15;United-States;<=50K
84;46;White;Male;Federal-gov;294869;Some-college;10;Married-civ-spouse;Adm-clerical;Husband;0;1740;40;United-States;<=50K
85;45;Asian-Pac-Islander;Male;Private;241474;HS-grad;9;Married-civ-spouse;Sales;Husband;0;0;40;Vietnam;<=50K
86;32;White;Female;Private;108889;HS-grad;9;Never-married;Tech-support;Not-in-family;0;0;50;United-States;<=50K
